season,episode,airdate,hosts,youtube_id, view_count,like_count,dislike_count,title,year,imdb_id,imdb_rating,runtime,imdb_cast,imdb_votes,oscar_winner,gregg_popcorn,gregg_oscar,tim_popcorn,tim_oscar
4,5,2/5/2014,Gregg Turkington|Jimmy McNichol|Tim Heidecker|Joe Estevez,g8OlSE96I1s,296149,2211,79,The Lego Movie,2014,1490017,7.7,100,Will Arnett|Elizabeth Banks|Craig Berry|Alison Brie|David Burrows,321702,False,5,False,3,False
4,5,2/5/2014,Gregg Turkington|Jimmy McNichol|Tim Heidecker|Joe Estevez,g8OlSE96I1s,296149,2211,79,RoboCop,2014,1234721,6.1,117,Joel Kinnaman|Gary Oldman|Michael Keaton|Abbie Cornish|Jackie Earle Haley,214956,False,5,False,NA,False
4,6,2/12/2014,Gregg Turkington|Larry Turman,zL2wK-HyeJQ,186652,1887,198,Endless Love,2014,2318092,6.3,104,Alex Pettyfer|Gabriella Wilde|Bruce Greenwood|Joely Richardson|Robert Patrick,40069,False,5,False,NA,NA
4,6,2/12/2014,Gregg Turkington|Larry Turman,zL2wK-HyeJQ,186652,1887,198,Girl on a Bicycle,2013,1686042,6.2,101,Vincenzo Amato|Nora Tschirner|Louise Monot|Paddy Considine|Roberta Danza,2108,False,5,False,NA,NA
4,7,2/19/2014,Gregg Turkington|Tim Heidecker,obTi-asfsK4,187057,1575,34,Pompeii,2014,1921064,5.5,105,Dylan Schombing|Jean-Francois Lachapelle|Rebecca Roberts|Kiefer Sutherland|Sasha Roiz,105775,False,5,False,5,False
4,8,2/26/2014,Gregg Turkington|Tim Heidecker|Joe Estevez,GRUe-F0g2fc,180919,1720,15,Project Almanac,2015,2436386,6.4,106,Jonny Weston|Sofia Black-D'Elia|Sam Lerner|Allen Evangelista|Virginia Gardner,75511,False,5,False,5,False
4,8,2/26/2014,Gregg Turkington|Tim Heidecker|Joe Estevez,GRUe-F0g2fc,180919,1720,15,Non-Stop,2014,2024469,6.9,106,Liam Neeson|Julianne Moore|Scoot McNairy|Michelle Dockery|Nate Parker,248319,False,5,False,6,False
4,9,3/5/2014,Gregg Turkington|Tim Heidecker,pZOBnKZ-X9U,151797,1463,22,Need for Speed,2014,2369135,6.4,132,Aaron Paul|Dominic Cooper|Imogen Poots|Kid Cudi|Rami Malek,161925,False,5,False,5,False
4,9,3/5/2014,Gregg Turkington|Tim Heidecker,pZOBnKZ-X9U,151797,1463,22,Walk of Shame,2014,2463288,6.0,95,Elizabeth Banks|James Marsden|Gillian Jacobs|Sarah Wright|Ethan Suplee,50773,False,5,False,NA,False
4,10,3/12/2014,Gregg Turkington|Tim Heidecker|Joe Estevez,1mz3aHHFxpc,153092,1655,20,Muppets Most Wanted,2014,2281587,6.4,107,Ricky Gervais|Ty Burrell|Tina Fey|Steve Whitmire|Eric Jacobson,31361,False,5,False,5,False
5,1,7/2/2014,Gregg Turkington|Tim Heidecker,9rKNLhPo9bg,203146,1646,35,Tammy,2014,2103254,4.9,97,Melissa McCarthy|Susan Sarandon|Kathy Bates|Allison Janney|Dan Aykroyd,47619,False,5,False,6,False
5,1,7/2/2014,Gregg Turkington|Tim Heidecker,9rKNLhPo9bg,203146,1646,35,Deliver Us from Evil,2014,2377322,6.2,118,Eric Bana|Edgar Ramírez|Olivia Munn|Chris Coy|Dorian Missick,70397,False,5,False,5,False
5,2,7/9/2014,Gregg Turkington|Tim Heidecker,VrL8tyJLeJk,182584,1900,43,Dawn of the Planet of the Apes,2014,2103281,7.6,130,Andy Serkis|Jason Clarke|Gary Oldman|Keri Russell|Toby Kebbell,409192,False,5,False,5,True
5,2,7/9/2014,Gregg Turkington|Tim Heidecker,VrL8tyJLeJk,182584,1900,43,And So It Goes,2014,2465146,5.8,94,Michael Douglas|Diane Keaton|Sterling Jerins|Annie Parisse|Austin Lysy,12708,False,5,True,5,False
5,3,7/16/2014,Gregg Turkington|Tim Heidecker,N0d3hMwjsxg,154036,1422,26,Jupiter Ascending,2015,1617661,5.3,127,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,177645,False,5,False,3,False
5,3,7/16/2014,Gregg Turkington|Tim Heidecker,N0d3hMwjsxg,154036,1422,26,Planes: Fire & Rescue,2014,2980706,6.0,83,Dane Cook|Ed Harris|Julie Bowen|Curtis Armstrong|John Michael Higgins,16424,False,5,False,5,False
5,4,7/23/2014,Gregg Turkington|Tim Heidecker|Joe Estevez,BQx_2bQniZI,167923,1529,31,Wish I Was Here,2014,2870708,6.7,106,Zach Braff|Pierce Gagnon|Kate Hudson|Joey King|Alexander Chaplin,36450,False,5,True,5,True
